Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 12:47:21.5748;1;a1f071c0c2e396220831cbf418b7832f;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 12:47:22.5507;29;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 12:47:22.5507;29;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-10 12:47:26.1876;765;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 12:47:26.1966;765;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-10 12:47:42.2463;4221;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.1767;0.0000;1.5700;0.0300;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:47:52.6424;6449;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;1;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 12:47:53.7869;6687;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;2;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 12:47:54.9294;6924;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;3;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 12:47:56.3079;7215;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.4440;0.0000;1.0631;0.5369;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:48:06.7540;9471;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;4;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 12:48:07.9028;9706;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;5;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 12:48:09.0450;9944;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;6;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 12:48:10.3617;10211;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.4440;0.4440;0.5562;1.0438;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:48:21.3129;12561;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;7;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
Resting;2024-05-10 12:48:24.4163;13207;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.9070;0.0000;0.0492;1.5508;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:48:24.5731;13240;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;8;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
Resting;2024-05-10 12:48:38.4781;16229;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.8051;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:48:48.9433;18467;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;9;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-10 12:48:50.0862;18703;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;10;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
MotorImagery;2024-05-10 12:48:51.2220;18945;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;11;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
MotorImagery;2024-05-10 12:48:52.3670;19186;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;12;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
Resting;2024-05-10 12:48:52.5340;19221;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.8288;0.8288;1.0593;0.5407;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:49:05.7363;22060;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;13;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-10 12:49:06.5920;22236;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.8295;0.8295;0.6508;0.9492;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:49:06.8705;22295;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;14;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-10 12:49:16.8510;24457;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;15;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-10 12:49:17.9980;24695;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;16;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
MotorImagery;2024-05-10 12:49:19.1328;24937;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;17;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
MotorImagery;2024-05-10 12:49:20.2715;25178;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;18;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
Resting;2024-05-10 12:49:20.6504;25258;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;0.8190;0.0000;0.1101;1.4899;1.6000;NULL;NULL
MotorImagery;2024-05-10 12:49:33.4261;28033;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;19;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
MotorImagery;2024-05-10 12:49:34.5670;28273;a1f071c0c2e396220831cbf418b7832f;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;20;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
GameStopped;2024-05-10 12:49:43.0792;30153;a1f071c0c2e396220831cbf418b7832f;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
