Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 11:48:16.4041;1;254e9c698161518b905420e371c98d90;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 11:48:17.2302;34;254e9c698161518b905420e371c98d90;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 11:48:17.2312;34;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 11:48:19.9886;666;254e9c698161518b905420e371c98d90;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 11:48:19.9966;666;254e9c698161518b905420e371c98d90;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-13 11:48:36.0462;4442;254e9c698161518b905420e371c98d90;anonymous;NULL;0.3938;0.3938;1.5700;0.0300;1.6000;NULL;NULL
Resting;2024-05-13 11:48:50.1051;7717;254e9c698161518b905420e371c98d90;anonymous;NULL;0.8584;0.0000;1.1116;0.4884;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:49:00.0640;10032;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;1;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-13 11:49:01.1950;10289;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;2;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
Resting;2024-05-13 11:49:04.1623;10952;254e9c698161518b905420e371c98d90;anonymous;NULL;0.8847;0.0000;0.5709;1.0291;1.6000;NULL;NULL
Resting;2024-05-13 11:49:18.2198;14222;254e9c698161518b905420e371c98d90;anonymous;NULL;0.9070;0.9070;0.0860;1.5140;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:49:18.4889;14285;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;3;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
Resting;2024-05-13 11:49:32.2816;17472;254e9c698161518b905420e371c98d90;anonymous;NULL;0.1930;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:49:46.2726;20629;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;4;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 11:49:46.3428;20640;254e9c698161518b905420e371c98d90;anonymous;NULL;0.7235;0.0000;1.2424;0.3576;1.6000;NULL;NULL
Resting;2024-05-13 11:50:00.3998;23862;254e9c698161518b905420e371c98d90;anonymous;NULL;0.3706;0.0000;1.2124;0.3876;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:50:11.2684;26368;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;5;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 11:50:12.4061;26629;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;6;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
MotorImagery;2024-05-13 11:50:14.3932;27084;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;7;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
Resting;2024-05-13 11:50:14.4580;27098;254e9c698161518b905420e371c98d90;anonymous;NULL;0.8289;0.0000;0.7835;0.8165;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:50:25.5821;29691;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;8;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 11:50:26.7226;29954;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;9;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-13 11:50:28.5171;30375;254e9c698161518b905420e371c98d90;anonymous;NULL;0.3413;0.0000;0.3879;1.2121;1.6000;NULL;NULL
MotorImagery;2024-05-13 11:50:39.4158;32930;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;10;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 11:50:40.5488;33188;254e9c698161518b905420e371c98d90;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;11;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
GameStopped;2024-05-13 11:50:50.4505;35530;254e9c698161518b905420e371c98d90;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
