Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 10:11:27.8275;1;35b1288608c47f8c4b5b3d303235e5bc;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:11:28.5864;29;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:11:28.5864;29;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 10:11:54.3746;6136;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 10:11:54.3836;6136;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:12:06.5567;8980;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;1;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-13 10:12:07.6943;9237;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;2;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-13 10:12:08.8262;9493;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;3;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-13 10:12:10.4299;9863;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.4440;0.0000;1.0931;0.5069;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:12:23.4110;12932;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;4;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 10:12:24.4854;13180;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.8180;0.0000;0.6636;0.9364;1.6000;NULL;NULL
