Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-08 14:14:51.2478;1;a494e4566a0ccc5786d9937c227f4b2f;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 14:14:56.1032;85;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-08 14:14:56.1291;86;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 14:14:56.1380;86;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
BCIStateUpdated;2024-05-08 14:14:56.1850;93;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 14:15:12.1901;3454;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.4052;0.4052;1.3644;0.2356;1.6000;NULL;NULL
Resting;2024-05-08 14:15:26.2508;6410;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.3615;0.3615;1.0751;0.5249;1.6000;NULL;NULL
Resting;2024-05-08 14:15:40.3062;9378;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.2245;0.2397;0.9104;0.6896;1.6000;NULL;NULL
Resting;2024-05-08 14:15:54.3728;12355;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.3277;0.3395;0.5850;1.0150;1.6000;NULL;NULL
MotorImagery;2024-05-08 14:16:07.7796;15196;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingData;0.8303;NULL;NULL;NULL;NULL;1;(0.816 0.809 0.816 0.830 0.756 0.787 0.805 0.839 )
Rest;2024-05-08 14:16:08.0342;15250;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingData;0.7483;NULL;NULL;NULL;NULL;1;(0.748 0.809 0.816 0.830 0.846 0.857 0.829 0.806 )
Resting;2024-05-08 14:16:08.4295;15326;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.6610;0.6772;0.1276;1.4724;1.6000;NULL;NULL
Resting;2024-05-08 14:16:22.4953;18293;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.4072;0.4072;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-08 14:16:36.5530;21257;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.4312;0.4680;1.3570;0.2430;1.6000;NULL;NULL
Resting;2024-05-08 14:16:50.6108;24262;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.3953;0.4338;1.0032;0.5968;1.6000;NULL;NULL
Resting;2024-05-08 14:17:04.6669;27258;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.5754;0.5754;0.6818;0.9182;1.6000;NULL;NULL
MotorImagery;2024-05-08 14:17:18.6119;30132;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingData;0.7790;NULL;NULL;NULL;NULL;2;(0.779 0.804 0.826 0.817 0.821 0.827 0.850 0.832 )
Rest;2024-05-08 14:17:18.6169;30133;a494e4566a0ccc5786d9937c227f4b2f;anonymous;ReceivingData;0.6906;NULL;NULL;NULL;NULL;2;(0.779 0.691 0.826 0.817 0.821 0.827 0.850 0.832 )
Resting;2024-05-08 14:17:18.7286;30156;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;0.6906;0.0000;0.2313;1.3687;1.6000;NULL;NULL
BCIStateUpdated;2024-05-08 14:17:39.0714;34464;a494e4566a0ccc5786d9937c227f4b2f;anonymous;Disconnected;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStopped;2024-05-08 14:17:39.0714;34464;a494e4566a0ccc5786d9937c227f4b2f;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
