Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
SuccessfulHit;2024-05-09 09:38:11.2848;4380;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7533;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:20.1308;5814;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8401;9;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:20.1308;5814;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7302;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:20.4843;5874;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7211;9;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:20.4843;5874;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7693;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:33.6734;8006;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7686;10;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:33.6734;8006;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7164;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:34.0610;8067;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7346;10;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:34.0610;8067;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7543;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:40.1649;9045;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7745;11;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:40.1649;9045;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7038;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:40.5723;9113;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7471;11;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:40.5723;9113;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7702;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:41.5901;9275;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7632;12;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:41.5901;9275;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7083;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:42.0990;9355;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7349;12;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:42.0990;9355;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7567;NULL;0.0000;FALSE;NULL;NULL;NULL
Resting;2024-05-09 09:38:44.7937;9788;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.2677;NULL;0.0000;FALSE;50.0000;0.0000;50.0000
GameStarted;2024-05-09 09:38:44.7987;9788;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:46.4459;10048;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7841;13;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 09:38:46.9566;10129;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7356;13;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:53.2170;11118;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8111;14;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 09:38:54.1319;11262;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7170;14;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:58.7184;11954;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7644;15;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:58.7184;11954;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7484;NULL;0.7484;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:59.3558;12047;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7376;15;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:59.3558;12047;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7692;NULL;0.8438;FALSE;NULL;NULL;NULL
Resting;2024-05-09 09:39:00.8444;12281;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.6144;NULL;0.8438;TRUE;50.0000;0.0000;50.0000
MotorImagery;2024-05-09 09:39:09.6104;13564;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8648;16;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:09.6104;13564;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.4958;NULL;0.6048;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:39:10.5986;13707;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7306;16;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:10.5986;13707;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.8984;NULL;0.8984;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:13.4275;14150;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7697;17;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:13.4275;14150;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7471;NULL;0.8984;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:39:13.4350;14151;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7248;17;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:13.4350;14151;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7697;NULL;0.8984;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:13.5562;14171;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7965;18;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:13.5562;14171;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7498;NULL;0.8984;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:39:14.0444;14249;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7500;18;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:14.0444;14249;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7548;NULL;0.8984;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:14.1850;14271;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7584;19;NULL;NULL;NULL;NULL;NULL
