Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 10:54:17.6221;1;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 10:54:18.5146;26;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 10:54:18.5146;26;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 10:54:26.1015;1586;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-10 10:54:26.1075;1586;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-10 10:54:41.1281;4758;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-10 10:54:41.1291;4758;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-10 10:54:42.1496;4966;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8180;0.8295;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:54:42.2723;4989;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-10 10:54:55.3345;7720;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;3;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-10 10:54:55.3355;7720;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-10 10:54:56.2074;7899;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8295;0.8295;29.2625;20.7375;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:54:56.4832;7953;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;4;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-10 10:55:06.9113;10143;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;5;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-10 10:55:06.9113;10143;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:55:08.0519;10381;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;6;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-10 10:55:08.0519;10381;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:55:09.1896;10618;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;7;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-10 10:55:09.1906;10618;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
