Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
Resting;2024-05-10 10:55:10.2682;10833;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8407;0.9407;8.5250;41.4750;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:55:10.3270;10845;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;8;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
MotorImagery;2024-05-10 10:55:20.9181;13105;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;9;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-10 10:55:20.9181;13105;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-10 10:55:22.0554;13341;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;10;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-10 10:55:22.0554;13341;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-10 10:55:23.2017;13585;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;11;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-10 10:55:23.2017;13585;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-10 10:55:24.3299;13818;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8407;0.9407;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:55:24.3498;13822;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;12;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
Resting;2024-05-10 10:55:38.3368;16749;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.6330;0.6330;26.4825;23.5175;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-10 10:55:51.9805;19686;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;NULL;13;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
SuccessfulHit;2024-05-10 10:55:51.9815;19686;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8584;0.8584;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-10 10:55:52.3961;19774;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8548;0.8584;26.4825;23.5175;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:55:53.1185;19911;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8822;NULL;NULL;NULL;NULL;NULL;14;(0.876 0.888 0.878 0.868 0.882 0.849 0.855 0.860 )
MotorImagery;2024-05-10 10:56:05.3337;22480;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;15;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-10 10:56:05.3343;22480;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-10 10:56:06.4548;22714;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;0.8180;0.8295;5.0225;44.9775;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 10:56:06.4808;22719;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;16;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
GameStopped;2024-05-10 10:56:15.1835;24546;efcf6195d62fe6618b2be5cd0bbec9c7;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
