Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 10:46:47.6454;1;21894f83ef2dc721eca39c08f33d0687;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:46:48.3830;31;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:46:48.3830;31;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 10:47:35.7360;11479;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-13 10:47:35.7409;11479;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-13 10:47:49.4389;14690;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;NULL;1;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
SuccessfulHit;2024-05-13 10:47:49.4409;14690;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7228;0.7908;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-13 10:47:50.5777;14947;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;NULL;2;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
SuccessfulHit;2024-05-13 10:47:50.5777;14947;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7659;0.7956;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 10:47:51.7953;15227;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7237;0.7956;50.0000;0.0000;50.0000;TRUE;NULL;NULL
Resting;2024-05-13 10:48:05.8035;18443;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.4369;0.4369;30.1100;19.8900;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 10:48:17.1868;21092;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;NULL;3;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
SuccessfulHit;2024-05-13 10:48:17.1868;21092;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7228;0.7908;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 10:48:19.8667;21707;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.6097;0.7946;30.1100;19.8900;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-13 10:48:30.4809;24135;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;NULL;4;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
SuccessfulHit;2024-05-13 10:48:30.4809;24135;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7843;0.7843;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-13 10:48:33.9235;24939;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.8755;0.8755;10.2450;39.7550;50.0000;TRUE;NULL;NULL
Resting;2024-05-13 10:48:47.9316;28198;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.3530;0.6203;50.0000;0.0000;50.0000;FALSE;NULL;NULL
Resting;2024-05-13 10:49:01.9330;31443;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7576;0.7576;50.0000;0.0000;50.0000;FALSE;NULL;NULL
Resting;2024-05-13 10:49:15.9379;34706;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.2659;0.3833;50.0000;0.0000;50.0000;FALSE;NULL;NULL
Resting;2024-05-13 10:49:29.9416;37928;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.7364;0.7364;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 10:49:41.8564;40715;21894f83ef2dc721eca39c08f33d0687;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;5;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 )
SuccessfulHit;2024-05-13 10:49:41.8574;40715;21894f83ef2dc721eca39c08f33d0687;anonymous;NULL;0.8284;0.8513;NULL;NULL;NULL;FALSE;NULL;NULL
