Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 14:28:12.5367;1;fd21ec2269acf17b2f1339346b1983c8;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 14:28:13.3381;32;fd21ec2269acf17b2f1339346b1983c8;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 14:28:13.3381;32;fd21ec2269acf17b2f1339346b1983c8;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 14:28:15.3990;465;fd21ec2269acf17b2f1339346b1983c8;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-13 14:28:15.4040;465;fd21ec2269acf17b2f1339346b1983c8;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-13 14:28:27.7508;3100;fd21ec2269acf17b2f1339346b1983c8;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;1;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-13 14:28:27.7518;3100;fd21ec2269acf17b2f1339346b1983c8;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-13 14:28:28.8937;3334;fd21ec2269acf17b2f1339346b1983c8;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;2;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-13 14:28:28.8947;3334;fd21ec2269acf17b2f1339346b1983c8;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-13 14:28:30.0307;3573;fd21ec2269acf17b2f1339346b1983c8;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;3;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
