Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber
SuccessfulHit;2024-05-08 14:32:41.0339;44069;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7348;0.7348;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:41.2817;44120;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.6928;NULL;NULL;NULL;NULL;NULL;9
SuccessfulHit;2024-05-08 14:32:41.2827;44120;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7561;0.7737;NULL;NULL;NULL;TRUE;NULL
MotorImagery;2024-05-08 14:32:43.2073;44521;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7507;NULL;NULL;NULL;NULL;NULL;10
SuccessfulHit;2024-05-08 14:32:43.2083;44521;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7412;0.7737;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:43.3201;44545;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7451;NULL;NULL;NULL;NULL;NULL;10
SuccessfulHit;2024-05-08 14:32:43.3201;44545;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7507;0.7737;NULL;NULL;NULL;TRUE;NULL
MotorImagery;2024-05-08 14:32:43.3241;44546;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7555;NULL;NULL;NULL;NULL;NULL;11
SuccessfulHit;2024-05-08 14:32:43.3241;44546;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7451;0.7737;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:43.9673;44679;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.6946;NULL;NULL;NULL;NULL;NULL;11
SuccessfulHit;2024-05-08 14:32:43.9673;44679;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7539;0.8247;NULL;NULL;NULL;TRUE;NULL
Resting;2024-05-08 14:32:45.3616;44971;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.6641;0.8247;29.7268;20.2732;50.0000;TRUE;NULL
MotorImagery;2024-05-08 14:32:54.2184;46745;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.8199;NULL;NULL;NULL;NULL;NULL;12
SuccessfulHit;2024-05-08 14:32:54.2184;46745;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.5888;0.5888;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:55.2354;46958;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.6686;NULL;NULL;NULL;NULL;NULL;12
SuccessfulHit;2024-05-08 14:32:55.2354;46958;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.8360;0.8845;NULL;NULL;NULL;TRUE;NULL
Resting;2024-05-08 14:32:59.4189;47831;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.5423;0.8845;9.1083;40.8917;50.0000;TRUE;NULL
GameStopped;2024-05-08 14:33:07.3240;49438;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
