Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 12:27:50.6497;1;174b168c7fe9106eb28074645d7bac68;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 12:27:51.4048;30;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 12:27:51.4048;30;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 12:28:33.2792;10018;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-13 12:28:33.2861;10018;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 12:28:49.2781;13760;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.3849;0.9258;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 12:29:02.7961;16894;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-13 12:29:02.7971;16894;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 12:29:03.3381;17017;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.7704;0.7704;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-13 12:29:03.9354;17143;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 12:29:05.0828;17389;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8605;NULL;NULL;NULL;NULL;NULL;3;(0.796 0.827 0.815 0.835 0.844 0.858 0.861 0.817 )
MotorImagery;2024-05-13 12:29:06.2288;17636;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8528;NULL;NULL;NULL;NULL;NULL;4;(0.858 0.878 0.873 0.868 0.859 0.845 0.853 0.868 )
MotorImagery;2024-05-13 12:29:07.3674;17889;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8627;NULL;NULL;NULL;NULL;NULL;5;(0.860 0.865 0.860 0.887 0.867 0.867 0.863 0.848 )
MotorImagery;2024-05-13 12:29:08.5062;18152;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.7853;NULL;NULL;NULL;NULL;NULL;6;(0.833 0.823 0.798 0.804 0.802 0.785 0.785 0.835 )
MotorImagery;2024-05-13 12:29:09.6447;18407;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8124;NULL;NULL;NULL;NULL;NULL;7;(0.816 0.791 0.791 0.774 0.790 0.812 0.812 0.811 )
MotorImagery;2024-05-13 12:29:10.7838;18673;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.7233;NULL;NULL;NULL;NULL;NULL;8;(0.816 0.831 0.839 0.841 0.809 0.752 0.723 0.829 )
Resting;2024-05-13 12:29:17.3433;20175;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.5095;0.6997;30.7400;19.2600;50.0000;FALSE;NULL;NULL
Resting;2024-05-13 12:29:31.3469;23364;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.8584;0.8584;30.7400;19.2600;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 12:29:31.4287;23383;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;NULL;9;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
MotorImagery;2024-05-13 12:29:44.9732;26569;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;10;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-13 12:29:44.9742;26569;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 12:29:45.4015;26665;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.7704;0.7704;30.7400;19.2600;50.0000;TRUE;NULL;NULL
Resting;2024-05-13 12:29:59.4129;29899;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.8284;0.8513;11.4800;38.5200;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 12:30:10.7344;32550;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;11;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 )
SuccessfulHit;2024-05-13 12:30:10.7344;32550;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.8284;0.8513;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 12:30:13.4694;33185;174b168c7fe9106eb28074645d7bac68;anonymous;NULL;0.8284;0.8513;11.4800;38.5200;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-13 12:30:13.5698;33204;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;12;(0.796 0.833 0.843 0.851 0.844 0.828 0.823 0.713 )
MotorImagery;2024-05-13 12:30:25.1317;35919;174b168c7fe9106eb28074645d7bac68;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;13;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 )
