Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-08 12:23:22.9455;1;744070deb9948ff85ca8846a5f530aff;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 12:23:26.8037;80;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 12:23:26.8037;80;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 12:23:34.0265;1648;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-08 12:23:34.0295;1648;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-08 12:23:48.8795;4768;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-08 12:23:48.8805;4768;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:23:50.0155;4997;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
SuccessfulHit;2024-05-08 12:23:50.0165;4997;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.8180;0.8295;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-08 12:23:50.0883;5011;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.8078;0.8295;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-08 12:23:51.1599;5217;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8605;NULL;NULL;NULL;NULL;NULL;3;(0.796 0.827 0.815 0.835 0.844 0.858 0.861 0.817 )
MotorImagery;2024-05-08 12:23:52.3098;5438;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8528;NULL;NULL;NULL;NULL;NULL;4;(0.858 0.878 0.873 0.868 0.859 0.845 0.853 0.868 )
MotorImagery;2024-05-08 12:23:53.4602;5660;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8627;NULL;NULL;NULL;NULL;NULL;5;(0.860 0.865 0.860 0.887 0.867 0.867 0.863 0.848 )
Resting;2024-05-08 12:24:04.0983;7863;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.3956;0.5175;29.2625;20.7375;50.0000;FALSE;NULL;NULL
Resting;2024-05-08 12:24:18.1035;10743;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.4497;0.4831;29.2625;20.7375;50.0000;FALSE;NULL;NULL
Resting;2024-05-08 12:24:32.1102;13641;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.4019;0.5274;29.2625;20.7375;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:24:42.1554;15721;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;NULL;6;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
SuccessfulHit;2024-05-08 12:24:42.1554;15721;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.7843;0.7843;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:24:43.2997;15951;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;NULL;7;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
SuccessfulHit;2024-05-08 12:24:43.3007;15951;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.8735;0.8755;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:24:44.4456;16169;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;NULL;8;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
SuccessfulHit;2024-05-08 12:24:44.4456;16169;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.8841;0.9069;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-08 12:24:46.1714;16517;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.2289;0.9069;29.2625;20.7375;50.0000;TRUE;NULL;NULL
Resting;2024-05-08 12:25:00.1791;19404;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.4179;0.4348;6.5900;43.4100;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:25:10.2840;21520;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;9;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-08 12:25:10.2840;21520;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:25:11.4214;21751;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;10;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-08 12:25:11.4223;21751;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:25:12.5679;21986;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;11;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-08 12:25:12.5679;21986;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-08 12:25:13.7049;22222;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;12;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
SuccessfulHit;2024-05-08 12:25:13.7049;22222;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.8407;0.9407;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-08 12:25:14.2385;22328;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.7940;0.9407;6.5900;43.4100;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-08 12:25:14.8391;22446;744070deb9948ff85ca8846a5f530aff;anonymous;ReceivingData;0.8600;NULL;NULL;NULL;NULL;NULL;13;(0.812 0.833 0.844 0.853 0.860 0.829 0.819 0.794 )
Resting;2024-05-08 12:25:28.2507;25290;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;0.3632;0.3632;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStopped;2024-05-08 12:25:37.9471;27313;744070deb9948ff85ca8846a5f530aff;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
