Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 12:11:23.9185;1;c792efae00033feb10e111e44a15b629;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 12:11:24.8584;27;c792efae00033feb10e111e44a15b629;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 12:11:24.8584;27;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 12:12:03.3606;8439;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-10 12:12:03.3656;8439;c792efae00033feb10e111e44a15b629;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 12:12:19.3619;11815;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.1960;0.6699;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-10 12:12:32.3819;14558;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
SuccessfulHit;2024-05-10 12:12:32.3829;14558;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.7397;0.7576;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-10 12:12:33.4221;14774;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.8180;0.8295;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 12:12:33.5168;14792;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-10 12:12:43.9807;16985;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;3;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-10 12:12:43.9816;16985;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 12:12:45.1289;17226;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;4;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-10 12:12:45.1289;17226;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 12:12:46.2597;17461;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;5;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-10 12:12:46.2607;17461;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 12:12:47.4014;17702;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;6;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
SuccessfulHit;2024-05-10 12:12:47.4024;17702;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.8407;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-10 12:12:47.4839;17719;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.8284;0.9407;29.2625;20.7375;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 12:12:48.5410;17924;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.8600;NULL;NULL;NULL;NULL;NULL;7;(0.812 0.833 0.844 0.853 0.860 0.829 0.819 0.794 )
MotorImagery;2024-05-10 12:12:49.6872;18147;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.8651;NULL;NULL;NULL;NULL;NULL;8;(0.891 0.890 0.872 0.862 0.865 0.870 0.888 0.894 )
MotorImagery;2024-05-10 12:12:50.8323;18374;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.7382;NULL;NULL;NULL;NULL;NULL;9;(0.813 0.789 0.780 0.763 0.738 0.843 0.836 0.838 )
Resting;2024-05-10 12:13:01.4910;20638;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.1930;0.6699;5.7450;44.2550;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-10 12:13:12.1790;22863;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;NULL;10;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
SuccessfulHit;2024-05-10 12:13:12.1800;22863;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.7228;0.7908;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-10 12:13:13.3218;23083;c792efae00033feb10e111e44a15b629;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;NULL;11;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
SuccessfulHit;2024-05-10 12:13:13.3218;23083;c792efae00033feb10e111e44a15b629;anonymous;NULL;0.7659;0.7956;NULL;NULL;NULL;FALSE;NULL;NULL
