Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-09 14:49:20.2868;1;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 14:49:21.2418;28;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 14:49:21.2418;28;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-09 14:49:44.7867;5209;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-09 14:49:44.7927;5209;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-09 14:50:00.7905;8595;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.3469;0.4424;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-09 14:50:11.8296;10948;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;NULL;1;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
SuccessfulHit;2024-05-09 14:50:11.8306;10948;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.7228;0.7908;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-09 14:50:12.9731;11183;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;NULL;2;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
SuccessfulHit;2024-05-09 14:50:12.9741;11183;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.7659;0.7956;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-09 14:50:14.8489;11585;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.3186;0.7956;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-09 14:50:25.4731;13801;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;3;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-09 14:50:25.4741;13801;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-09 14:50:26.6160;14031;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;4;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-09 14:50:26.6170;14031;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-09 14:50:27.7533;14266;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;5;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-09 14:50:27.7533;14266;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-09 14:50:28.8831;14502;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;6;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
SuccessfulHit;2024-05-09 14:50:28.8841;14502;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.8407;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-09 14:50:28.9040;14506;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.8284;0.9407;30.1100;19.8900;50.0000;TRUE;NULL;NULL
Resting;2024-05-09 14:50:42.9124;17446;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.2339;0.4102;6.5925;43.4075;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-09 14:50:55.7424;20192;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;NULL;7;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
SuccessfulHit;2024-05-09 14:50:55.7424;20192;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.7843;0.8051;NULL;NULL;NULL;FALSE;NULL;NULL
MotorImagery;2024-05-09 14:50:56.8789;20429;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;NULL;8;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
SuccessfulHit;2024-05-09 14:50:56.8799;20429;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.8735;0.8755;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-09 14:50:56.9708;20449;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;0.8914;0.8914;6.5925;43.4075;50.0000;TRUE;NULL;NULL
GameStopped;2024-05-09 14:51:06.6810;22449;e4d67c1ff6c3adb204b8a7a22f31bbf1;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
