Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 13:45:34.1734;1;9df45e104563bfe1d6175ef821e9dde5;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 13:45:34.9955;30;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 13:45:34.9955;30;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 13:45:37.2810;520;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-13 13:45:37.2870;520;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 13:45:53.2785;3930;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.4309;0.5274;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-13 13:46:07.2101;6928;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;NULL;1;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
SuccessfulHit;2024-05-13 13:46:07.2122;6928;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.8584;0.8584;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-13 13:46:07.3396;6954;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.8557;0.8584;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:08.3550;7150;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.8822;NULL;NULL;NULL;NULL;NULL;2;(0.876 0.888 0.878 0.868 0.882 0.849 0.855 0.860 )
MotorImagery;2024-05-13 13:46:18.2282;9218;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;3;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-13 13:46:18.2282;9218;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:19.3700;9459;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;4;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-13 13:46:19.3700;9459;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:20.5050;9695;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;5;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-13 13:46:20.5050;9695;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-13 13:46:21.3985;9887;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.8228;0.9407;28.5400;21.4600;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:21.6396;9933;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;6;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
MotorImagery;2024-05-13 13:46:32.0179;12122;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;7;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-13 13:46:32.0179;12122;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:33.1619;12362;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;8;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-13 13:46:33.1619;12362;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:34.3047;12602;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;9;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-13 13:46:34.3057;12602;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-13 13:46:35.4432;12845;9df45e104563bfe1d6175ef821e9dde5;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;10;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
SuccessfulHit;2024-05-13 13:46:35.4432;12845;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.8407;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-13 13:46:35.4619;12849;9df45e104563bfe1d6175ef821e9dde5;anonymous;NULL;0.8284;0.9407;5.0225;44.9775;50.0000;TRUE;NULL;NULL
