Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
Rest;2024-05-09 11:09:47.9188;13947;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6364;6;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.9188;13947;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6821;NULL;0.7089;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:47.9238;13948;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7017;7;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.9238;13948;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6364;NULL;0.7089;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:48.8160;14122;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6610;7;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:48.8160;14122;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6965;NULL;0.7278;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:49.6984;14292;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7117;8;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:49.6984;14292;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6623;NULL;0.7278;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:50.3426;14407;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6303;8;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:50.3426;14407;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6944;NULL;0.8115;FALSE;NULL;NULL;NULL
Resting;2024-05-09 11:09:50.7822;14491;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.4634;NULL;0.8115;TRUE;50.0000;0.0000;50.0000
MotorImagery;2024-05-09 11:09:52.0075;14709;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6974;9;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:52.3794;14775;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6730;9;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:53.5430;14975;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6812;10;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:53.6766;14998;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6679;10;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:53.9275;15042;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6837;11;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:53.9325;15043;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6691;11;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:54.0512;15063;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6842;12;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:54.5477;15147;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6576;12;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:55.0729;15247;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6980;13;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:55.0759;15248;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6796;13;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:55.1990;15272;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6887;14;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:55.3290;15297;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6740;14;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:55.5861;15347;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6834;15;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:57.7582;15764;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6461;15;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:58.1344;15836;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7190;16;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:00.0510;16203;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6574;16;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:00.0510;16203;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7012;NULL;0.8635;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:03.3879;16849;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6885;17;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:03.3879;16849;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.5613;NULL;0.8635;TRUE;NULL;NULL;NULL
Rest;2024-05-09 11:10:03.8973;16950;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6524;17;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:03.8973;16950;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6815;NULL;0.8635;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:04.1552;17000;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7327;18;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:04.1552;17000;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6796;NULL;0.8635;TRUE;NULL;NULL;NULL
Rest;2024-05-09 11:10:04.3939;17047;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6655;18;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:04.3939;17047;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7504;NULL;0.8635;TRUE;NULL;NULL;NULL
Resting;2024-05-09 11:10:04.8434;17133;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.3306;NULL;0.8635;TRUE;29.7121;20.2879;50.0000
MotorImagery;2024-05-09 11:10:06.4525;17420;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6854;19;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:06.6241;17445;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6592;19;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:06.7078;17459;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7039;20;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:06.8375;17482;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6394;20;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:09.2676;17920;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6904;21;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:09.6547;17990;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6311;21;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:10.9441;18234;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6983;22;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:11.0508;18254;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6577;22;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:12.4632;18527;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7517;23;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:14.1226;18848;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6789;23;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:14.1226;18848;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7184;NULL;0.8332;TRUE;NULL;NULL;NULL
Resting;2024-05-09 11:10:18.9115;19739;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.3076;NULL;0.8332;TRUE;8.1234;41.8766;50.0000
MotorImagery;2024-05-09 11:10:24.2260;20754;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6828;24;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:24.3606;20781;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6521;24;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:32.0169;22241;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6990;25;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:32.0169;22241;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6569;NULL;0.6569;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:10:32.3952;22310;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6648;25;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:32.3952;22310;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6916;NULL;0.7476;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:32.5286;22336;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6874;26;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:32.5286;22336;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6597;NULL;0.7476;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:10:32.9181;22412;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6784;26;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:32.9181;22412;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7270;NULL;0.7518;FALSE;NULL;NULL;NULL
Resting;2024-05-09 11:10:32.9719;22421;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6784;NULL;0.7518;TRUE;50.0000;0.0000;50.0000
MotorImagery;2024-05-09 11:10:37.1291;23177;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6915;27;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:37.2585;23202;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6713;27;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:37.7865;23306;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7089;28;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:38.0164;23351;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6751;28;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:38.2780;23401;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6852;29;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:38.4109;23428;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6328;29;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:38.5449;23456;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7183;30;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:10:38.7957;23502;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6411;30;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:46.2091;24911;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7293;31;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:46.2091;24911;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6763;NULL;0.6763;TRUE;NULL;NULL;NULL
Resting;2024-05-09 11:10:47.0315;25069;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7706;NULL;0.8090;TRUE;31.2045;18.7955;50.0000
Rest;2024-05-09 11:10:47.3681;25127;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6071;31;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:56.9509;26926;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6984;32;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:56.9509;26926;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6665;NULL;0.6665;TRUE;NULL;NULL;NULL
Rest;2024-05-09 11:10:57.9675;27119;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6610;32;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:57.9675;27119;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6914;NULL;0.8023;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:10:58.2355;27170;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6851;33;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:58.2355;27170;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6261;NULL;0.8023;TRUE;NULL;NULL;NULL
Rest;2024-05-09 11:10:58.3556;27193;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6567;33;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:10:58.3556;27193;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6851;NULL;0.8023;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:11:00.2788;27567;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7066;34;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:11:00.2798;27567;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6667;NULL;0.8023;TRUE;NULL;NULL;NULL
Resting;2024-05-09 11:11:01.0903;27718;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7754;NULL;0.8023;TRUE;10.9793;39.0207;50.0000
Rest;2024-05-09 11:11:01.4101;27777;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6562;34;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:11:01.5442;27801;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7469;35;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:11:01.8235;27851;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6703;35;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:11:02.0526;27891;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6921;36;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:11:02.5719;27990;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6556;36;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:11:03.7184;28212;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6820;37;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:11:03.7244;28213;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6742;37;NULL;NULL;NULL;NULL;NULL
GameStopped;2024-05-09 11:11:13.8939;30114;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
