Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
BCIStateUpdated;2024-05-09 11:08:30.3092;1;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 11:08:33.4646;26;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 11:08:33.5175;36;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:21.7096;8981;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6882;1;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:21.7106;8981;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.5546;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:21.8402;9006;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6714;1;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:21.8402;9006;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.7081;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:30.7887;10709;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.7114;2;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:30.7887;10709;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6706;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:30.9202;10735;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6681;2;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:30.9202;10735;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6858;NULL;0.0000;FALSE;NULL;NULL;NULL
Resting;2024-05-09 11:09:34.7370;11452;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.5723;NULL;0.0000;FALSE;50.0000;0.0000;50.0000
GameStarted;2024-05-09 11:09:34.7440;11452;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:35.7580;11629;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6809;3;NULL;NULL;NULL;NULL;NULL
Rest;2024-05-09 11:09:36.2794;11722;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6127;3;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:47.2756;13824;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6987;4;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.2756;13824;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6471;NULL;0.6471;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:47.6447;13895;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6773;4;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.6447;13895;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6822;NULL;0.7089;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:47.6487;13896;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6830;5;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.6487;13896;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6773;NULL;0.7089;FALSE;NULL;NULL;NULL
Rest;2024-05-09 11:09:47.7823;13922;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6625;5;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.7823;13922;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6830;NULL;0.7089;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 11:09:47.7889;13923;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;ReceivingData;0.6838;6;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 11:09:47.7889;13923;d4de4a2aaf2e47619c27edecedfd7c38;anonymous;NULL;0.6625;NULL;0.7089;FALSE;NULL;NULL;NULL
