Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 11:57:40.2126;1;43ce78ba790fb14f0e5c7d932f769695;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 11:57:41.1320;29;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 11:57:41.1320;29;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-10 11:58:20.7246;8627;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 11:58:20.7355;8627;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-10 11:58:34.2656;11565;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;1;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-10 11:58:35.3987;11805;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;2;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-10 11:58:36.7900;12100;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.8245;0.0000;1.1755;0.4245;1.6000;NULL;NULL
MotorImagery;2024-05-10 11:58:37.4047;12233;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;3;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
MotorImagery;2024-05-10 11:58:48.4414;14625;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;4;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 11:58:49.5759;14860;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;5;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 11:58:50.7267;15101;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;6;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 11:58:50.8491;15127;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.8595;0.0000;0.6686;0.9314;1.6000;NULL;NULL
MotorImagery;2024-05-10 11:59:01.3062;17392;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;7;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 11:59:02.4490;17629;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;8;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 11:59:03.5837;17870;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;9;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 11:59:04.9129;18154;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.4440;0.4440;0.1617;1.4383;1.6000;NULL;NULL
MotorImagery;2024-05-10 11:59:17.6719;20892;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;10;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
MotorImagery;2024-05-10 11:59:18.8156;21131;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;11;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
Resting;2024-05-10 11:59:18.9688;21163;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.8169;0.8169;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-10 11:59:33.0248;24230;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.4309;0.0000;1.4726;0.1274;1.6000;NULL;NULL
MotorImagery;2024-05-10 11:59:43.3315;26478;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;12;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 11:59:44.4781;26719;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;13;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 11:59:45.6178;26957;43ce78ba790fb14f0e5c7d932f769695;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;14;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 11:59:47.0834;27277;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.3614;0.0000;0.9657;0.6343;1.6000;NULL;NULL
Resting;2024-05-10 12:00:01.1379;30349;43ce78ba790fb14f0e5c7d932f769695;anonymous;NULL;0.1975;0.1975;0.6958;0.9042;1.6000;NULL;NULL
