Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 14:22:48.0500;1;30952ac00113890a6e345438876285a8;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 14:22:48.8658;28;30952ac00113890a6e345438876285a8;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 14:22:48.8668;28;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 14:22:50.2292;318;30952ac00113890a6e345438876285a8;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 14:22:50.2382;318;30952ac00113890a6e345438876285a8;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:23:05.2511;3564;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 14:23:06.2915;3779;30952ac00113890a6e345438876285a8;anonymous;NULL;0.8180;0.8180;1.1705;0.4295;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:23:06.3815;3795;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 14:23:19.2382;6585;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;3;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 14:23:20.3519;6815;30952ac00113890a6e345438876285a8;anonymous;NULL;0.8180;0.0000;0.7410;0.8590;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:23:20.3738;6820;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;4;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 14:23:32.9800;9549;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;5;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
MotorImagery;2024-05-13 14:23:34.1200;9785;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;6;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
Resting;2024-05-13 14:23:34.4078;9846;30952ac00113890a6e345438876285a8;anonymous;NULL;0.7956;0.7956;0.3115;1.2885;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:23:35.2595;10030;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8605;NULL;NULL;NULL;NULL;7;(0.796 0.827 0.815 0.835 0.844 0.858 0.861 0.817 )
Resting;2024-05-13 14:23:48.4679;12774;30952ac00113890a6e345438876285a8;anonymous;NULL;0.4291;0.4291;0.1841;1.4159;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:23:58.5326;14944;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;8;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-13 14:23:59.6687;15178;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;9;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-13 14:24:00.8133;15417;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;10;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-13 14:24:02.5322;15784;30952ac00113890a6e345438876285a8;anonymous;NULL;0.7235;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:24:16.1954;18625;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;11;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
Resting;2024-05-13 14:24:16.5905;18710;30952ac00113890a6e345438876285a8;anonymous;NULL;0.8548;0.0000;1.1416;0.4584;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:24:30.2326;21622;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;12;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
Resting;2024-05-13 14:24:30.6528;21710;30952ac00113890a6e345438876285a8;anonymous;NULL;0.8548;0.0000;0.6832;0.9168;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:24:44.2573;24614;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;13;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
Resting;2024-05-13 14:24:44.7150;24710;30952ac00113890a6e345438876285a8;anonymous;NULL;0.8603;0.8603;0.2248;1.3752;1.6000;NULL;NULL
MotorImagery;2024-05-13 14:24:55.2158;27000;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;14;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 14:24:56.3456;27238;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;15;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
MotorImagery;2024-05-13 14:24:58.3376;27659;30952ac00113890a6e345438876285a8;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;16;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
GameStopped;2024-05-13 14:25:05.1328;29135;30952ac00113890a6e345438876285a8;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
