Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-09 14:43:18.1472;1;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 14:43:19.0947;27;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 14:43:19.0947;27;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-09 14:43:23.6292;940;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-09 14:43:23.6397;940;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:43:36.1452;3625;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;1;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-09 14:43:37.2842;3856;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;2;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-09 14:43:38.4349;4096;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;3;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-09 14:43:39.6927;4363;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.5609;0.0000;1.0931;0.5069;1.6000;NULL;NULL
Resting;2024-05-09 14:43:53.7481;7317;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.6097;0.0000;0.8834;0.7166;1.6000;NULL;NULL
Resting;2024-05-09 14:44:07.8088;10330;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.1438;0.0000;0.8534;0.7466;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:44:18.9076;12735;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;4;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-09 14:44:20.0425;12966;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;5;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-09 14:44:21.1819;13205;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;6;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-09 14:44:21.8633;13350;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.8092;0.0000;0.3465;1.2535;1.6000;NULL;NULL
Resting;2024-05-09 14:44:35.9208;16394;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.4052;0.0000;0.3165;1.2835;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:44:46.6563;18729;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;7;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-09 14:44:47.7938;18962;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;8;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-09 14:44:48.9331;19201;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;9;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-09 14:44:49.9838;19423;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.7235;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-09 14:45:04.0455;22468;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.2339;0.0000;1.5700;0.0300;1.6000;NULL;NULL
Resting;2024-05-09 14:45:18.1062;25531;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.2605;0.0000;1.3001;0.2999;1.6000;NULL;NULL
Resting;2024-05-09 14:45:32.1688;28599;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.7392;0.7392;0.9876;0.6124;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:45:43.8950;31152;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;10;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-09 14:45:45.0359;31393;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;11;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-09 14:45:46.2291;31644;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.7540;0.0000;0.5920;1.0080;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:45:58.1860;34147;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;12;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-09 14:45:59.3257;34387;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;13;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
Resting;2024-05-09 14:46:00.2962;34589;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.7877;0.0000;0.0513;1.5487;1.6000;NULL;NULL
MotorImagery;2024-05-09 14:46:00.4727;34627;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;14;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
Resting;2024-05-09 14:46:14.3518;37596;ce6d043ab1a01fe009f2ea72266fd1ab;anonymous;NULL;0.3053;0.0000;0.0213;1.5787;1.6000;NULL;NULL
