Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 10:46:01.0556;1;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 10:46:02.0525;25;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 10:46:02.0525;25;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-10 10:47:43.8772;21384;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 10:47:43.8861;21384;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-10 10:47:59.9430;24681;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.3146;0.0000;1.5652;0.0348;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:48:13.0003;27459;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;1;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-10 10:48:13.9961;27661;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8180;0.8180;1.1357;0.4643;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:48:14.1405;27691;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;2;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-10 10:48:26.8192;30341;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;3;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
MotorImagery;2024-05-10 10:48:27.9533;30568;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;4;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
Resting;2024-05-10 10:48:28.0486;30587;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8078;0.0000;0.7062;0.8938;1.6000;NULL;NULL
Resting;2024-05-10 10:48:42.1061;33402;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8584;0.0000;0.2478;1.3522;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:48:42.1401;33409;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;5;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
MotorImagery;2024-05-10 10:48:53.2406;35622;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;6;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-10 10:48:54.3839;35845;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;7;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-10 10:48:56.1698;36186;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8192;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:48:56.3847;36225;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;8;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
MotorImagery;2024-05-10 10:49:09.1385;38763;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;9;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-10 10:49:10.2253;38960;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8180;0.0000;1.1705;0.4295;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:49:10.2822;38971;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;10;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
Resting;2024-05-10 10:49:24.2810;41832;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.4019;0.4019;1.0431;0.5569;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:49:34.6504;43998;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;11;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-10 10:49:35.7874;44235;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;12;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-10 10:49:36.9226;44476;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;13;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-10 10:49:38.3359;44770;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.4440;0.0000;0.5362;1.0638;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:49:49.1522;46973;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;14;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-10 10:49:50.2922;47198;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;15;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
MotorImagery;2024-05-10 10:49:52.2904;47585;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;16;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
Resting;2024-05-10 10:49:52.3996;47606;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;NULL;0.8289;0.0000;0.1073;1.4927;1.6000;NULL;NULL
MotorImagery;2024-05-10 10:50:05.3729;50203;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;17;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
MotorImagery;2024-05-10 10:50:06.5161;50420;8a0d7dbfb7cfdef735bc30db685d6326;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;18;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
