Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-08 12:13:19.4401;1;8321e86d0d53877449a8b9906890f20b;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 12:13:20.3925;20;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 12:13:20.3925;20;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-08 12:14:34.4821;19674;8321e86d0d53877449a8b9906890f20b;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 12:14:34.4881;19674;8321e86d0d53877449a8b9906890f20b;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-08 12:14:50.5394;23896;8321e86d0d53877449a8b9906890f20b;anonymous;NULL;0.1960;0.1960;1.3301;0.2699;1.6000;NULL;NULL
MotorImagery;2024-05-08 12:15:01.2999;26643;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;1;(0.805 0.868 0.885 0.907 0.926 0.919 0.708 0.721 )
MotorImagery;2024-05-08 12:15:02.4375;26932;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;2;(0.936 0.929 0.923 0.917 0.919 0.915 0.932 0.941 )
MotorImagery;2024-05-08 12:15:03.5679;27228;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;3;(0.885 0.865 0.831 0.788 0.781 0.772 0.900 0.900 )
Resting;2024-05-08 12:15:04.5953;27494;8321e86d0d53877449a8b9906890f20b;anonymous;NULL;0.8407;0.8407;0.7894;0.8106;1.6000;NULL;NULL
MotorImagery;2024-05-08 12:15:04.6986;27521;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;4;(0.733 0.786 0.818 0.823 0.841 0.828 0.767 0.763 )
MotorImagery;2024-05-08 12:15:05.8416;27826;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8600;NULL;NULL;NULL;NULL;5;(0.794 0.812 0.833 0.844 0.853 0.860 0.829 0.819 )
MotorImagery;2024-05-08 12:15:06.9731;28119;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8651;NULL;NULL;NULL;NULL;6;(0.894 0.891 0.890 0.872 0.862 0.865 0.870 0.888 )
MotorImagery;2024-05-08 12:15:08.1055;28416;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.7382;NULL;NULL;NULL;NULL;7;(0.838 0.813 0.789 0.780 0.763 0.738 0.843 0.836 )
MotorImagery;2024-05-08 12:15:14.5219;30080;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;8;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-08 12:15:15.6586;30354;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;9;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
MotorImagery;2024-05-08 12:15:16.7913;30617;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;10;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
Resting;2024-05-08 12:15:18.6548;31063;8321e86d0d53877449a8b9906890f20b;anonymous;NULL;0.2414;0.2414;0.2825;1.3175;1.6000;NULL;NULL
MotorImagery;2024-05-08 12:15:28.8635;33764;8321e86d0d53877449a8b9906890f20b;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;11;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
